               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.018161,             0.00508,                   0,             0.89943,             0.78449,             0.84019,             0.37129,            0.042518,           0.0076635,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.018845,            0.004826,                   0,               0.908,             0.77915,              0.8403,             0.37246,            0.041656,           0.0076249,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.018525,           0.0049602,                   0,             0.91699,             0.77193,             0.84727,             0.36506,            0.042035,           0.0076071,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.018167,           0.0047695,                   0,             0.93692,             0.78174,             0.84272,              0.3817,            0.041059,           0.0076403,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.017888,            0.004631,                   0,             0.92332,             0.77193,             0.85023,             0.36725,            0.041584,           0.0077372,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.017901,           0.0047224,                   0,             0.93602,             0.77193,              0.8513,             0.37753,            0.040958,           0.0076719,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.018198,            0.004685,                   0,             0.95561,             0.75541,             0.84533,             0.38473,            0.040677,            0.007757,                   0,            0.001882,            0.001882,            0.001882
                 125,             0.01806,           0.0047692,                   0,             0.93655,             0.77682,             0.84505,             0.36249,            0.041776,           0.0077793,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.017387,           0.0044895,                   0,             0.94653,             0.77647,             0.84864,             0.36842,            0.041698,           0.0077953,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.017588,           0.0046337,                   0,             0.91223,             0.78947,             0.83467,             0.35955,            0.041673,           0.0078022,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.017072,           0.0047236,                   0,             0.90676,             0.78947,             0.83934,              0.3767,            0.042061,           0.0078998,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.017419,           0.0046739,                   0,              0.8992,             0.78251,             0.83068,             0.36599,            0.041983,           0.0079702,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.018443,           0.0047894,                   0,             0.89081,             0.77193,             0.82626,             0.35899,             0.04245,           0.0079815,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.017043,           0.0046105,                   0,             0.85986,              0.7807,             0.82083,             0.36892,            0.041524,            0.007943,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.018017,           0.0050149,                   0,             0.87749,             0.82456,             0.85314,              0.3745,            0.041527,           0.0079379,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.017142,           0.0049721,                   0,             0.88876,             0.79825,             0.84272,             0.35222,            0.042479,           0.0079729,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.016584,            0.004705,                   0,             0.89675,             0.78947,             0.84207,               0.362,            0.042131,           0.0079738,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.016959,           0.0047763,                   0,             0.89102,              0.7807,             0.83231,             0.36532,            0.042658,           0.0080122,                   0,            0.001156,            0.001156,            0.001156
                 136,             0.01643,           0.0044971,                   0,              0.8796,             0.76906,             0.82802,             0.37625,            0.041892,           0.0080404,                   0,             0.00109,             0.00109,             0.00109
                 137,             0.01652,           0.0045546,                   0,             0.92712,             0.72807,             0.83004,             0.37194,            0.041635,            0.007997,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.017006,           0.0043331,                   0,             0.88129,             0.78145,             0.83979,             0.37227,            0.042001,           0.0079985,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.016995,           0.0044779,                   0,             0.88125,             0.78117,             0.83889,             0.36105,             0.04273,           0.0080263,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.016348,           0.0043565,                   0,             0.94912,             0.74561,             0.83953,             0.38182,            0.041311,           0.0079828,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.016616,           0.0047044,                   0,             0.93387,             0.76316,             0.83751,              0.3779,            0.041861,           0.0080185,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.016555,           0.0044625,                   0,             0.93335,             0.76316,               0.842,             0.36985,            0.041752,           0.0080213,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.016359,           0.0045721,                   0,             0.93281,             0.76316,             0.83894,             0.37094,            0.041766,           0.0080339,                   0,            0.000628,            0.000628,            0.000628
                 144,             0.01694,            0.004637,                   0,             0.93439,             0.76316,             0.84035,             0.36524,             0.04182,           0.0080093,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.015697,           0.0044158,                   0,             0.93568,             0.76562,             0.84468,             0.36925,             0.04115,           0.0079745,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.016104,           0.0043357,                   0,             0.93564,             0.76514,              0.8401,             0.37806,            0.040939,           0.0079675,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.015819,           0.0047146,                   0,             0.93129,             0.76316,             0.85029,             0.37708,            0.041542,           0.0080074,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.015641,           0.0046246,                   0,             0.93088,             0.76316,             0.85004,             0.37772,             0.04157,           0.0079922,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.016132,           0.0043945,                   0,              0.8694,             0.80702,             0.85869,              0.3726,             0.04151,           0.0080029,                   0,            0.000232,            0.000232,            0.000232
